price,title,url
Ft126380.81,"LENOVO THINKPAD T580 I5-8350U CPU 1.70GHZ 15.6"" (1920 x 1080) 16 GB 256 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610557/lenovo-thinkpad-t580-i5-8350u-cpu-1-70ghz-15-6-1920-x-1080-16-gb-256-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft126380.81,"DELL LATITUDE 5590 I5-8250U CPU 1.60GHZ 15.6"" (1920 x 1080) 16 GB 256 GB SATA SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610494/dell-latitude-5590-i5-8250u-cpu-1-60ghz-15-6-1920-x-1080-16-gb-256-gb-sata-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft128340.67,"Процесор Intel Raptor Lake i5-14600 TRAY, 14 Cores, 2.7 GHz, 24MB, 65W, LGA1700",https://allstore.bg/product/619436/protsesor-intel-raptor-lake-i5-14600-tray-14-cores-2-7-ghz-24mb-65w-lga1700.html
Ft128340.67,"Процесор Intel Raptor Lake i5-14600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/618235/protsesor-intel-raptor-lake-i5-14600k-tray-14-cores-3-5-ghz-24mb-125w-lga1700.html
Ft130406.05,"Процесор Intel Raptor Lake Core i5-14500 TRAY, 2.5GHz, 24MB, LGA1700, 65W",https://allstore.bg/product/620185/protsesor-intel-raptor-lake-core-i5-14500-tray-2-5ghz-24mb-lga1700-65w.html
Ft132975.56,"DELL LATITUDE 5590 I5-8250U CPU 1.60GHZ 15.6"" (1920 x 1080) 16 GB 512 GB SATA SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610547/dell-latitude-5590-i5-8250u-cpu-1-60ghz-15-6-1920-x-1080-16-gb-512-gb-sata-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft132975.56,"LENOVO THINKPAD T580 I5-8350U CPU 1.70GHZ 15.6"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610479/lenovo-thinkpad-t580-i5-8350u-cpu-1-70ghz-15-6-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft137688.61,"DELL LATITUDE 5410 I5-10210U CPU 1.60GHZ 14"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610499/dell-latitude-5410-i5-10210u-cpu-1-60ghz-14-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft145428.40,"Prestigio Solutions Digital Media Player PSMPC105, i5-1235u, No RAM&ROM, Wi-Fi 6, No OS",https://allstore.bg/product/611730/prestigio-solutions-digital-media-player-psmpc105-i5-1235u-no-ram-rom-wi-fi-6-no-os.html
Ft170134.78,"LENOVO THINKPAD T14S I5-10210U CPU 1.60GHZ 14"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610554/lenovo-thinkpad-t14s-i5-10210u-cpu-1-60ghz-14-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft183529.45,"DELL LATITUDE 5520 I5-1145G7 CPU 2.60GHZ 15.6"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610556/dell-latitude-5520-i5-1145g7-cpu-2-60ghz-15-6-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft201371.42,Преносим компютър Acer Aspire 3 A315-59,https://allstore.bg/product/616903/prenosim-kompyutar-acer-aspire-3-a315-59.html
Ft205988.73,"Лаптоп Dell Pro 15 Essential PV15250, Intel Core i5-1334U (10 cores, up to 4.60 GHz), 15.6"" FHD (1920x1080) 120Hz WVA AG, 8GB, 1x8GB, DDR5, 5200MT/s, 512GB M.2 PCIe NVMe, Intel UHD Graphics, HD RGB cam, Wi-Fi 6, FPR, Bulgarian, Ubuntu, Carbon, 3Y PS",https://allstore.bg/product/620299/laptop-dell-pro-15-essential-pv15250-intel-core-i5-1334u-10-cores-up-to-4-60-ghz-15-6-fhd-1920x1080-120hz-wva-ag-8gb-1x8gb-ddr5-5200mt-s-512gb-m-2-pcie-nvme-intel-uhd-graphics-hd-rgb-cam-wi-fi-6-fpr-bulgarian-ubuntu-carbon-3y-ps.html
Ft216155.39,"Лаптоп Acer Extensa EX215-57-57TE, Core i5 13420H(up to 4.7GHz, 12MB), 15.6"" FHD (1920x1080)IPS 300nits, 16GB DDR5 (1slot free), SSD 512GB, Intel UHD Graphics, TPM 2.0, Wi-Fi 6 AX, BT 5.2, Energy star, No OS, Silver",https://allstore.bg/product/620945/laptop-acer-extensa-ex215-57-57te-core-i5-13420h-up-to-4-7ghz-12mb-15-6-fhd-1920x1080-ips-300nits-16gb-ddr5-1slot-free-ssd-512gb-intel-uhd-graphics-tpm-2-0-wi-fi-6-ax-bt-5-2-energy-star-no-os-silver.html
Ft218146.51,"PRESTIGIO SOLUTIONS OPS PC Core i5 12th Gen, 8GB DDR5 RAM, 256GB SSD, TPM2.0, Wi-Fi 6, Bluetooth 5.2, Windows 11 trial",https://allstore.bg/product/617748/prestigio-solutions-ops-pc-core-i5-12th-gen-8gb-ddr5-ram-256gb-ssd-tpm2-0-wi-fi-6-bluetooth-5-2-windows-11-trial.html
Ft224217.59,"Лаптоп Dell Pro 15 Essential PV15250, Intel Core i5-1334U (10 cores, up to 4.60 GHz), 15.6"" FHD (1920x1080) 120Hz WVA AG, 16 GB, 1 x 16 GB, DDR5, 5200 MT/s, 512GB M.2 PCIe NVMe, Intel UHD Graphics, HD RGB cam, Wi-Fi 6, FPR, Bulgarian, Ubuntu, Carbon, 3Y P",https://allstore.bg/product/620303/laptop-dell-pro-15-essential-pv15250-intel-core-i5-1334u-10-cores-up-to-4-60-ghz-15-6-fhd-1920x1080-120hz-wva-ag-16-gb-1-x-16-gb-ddr5-5200-mt-s-512gb-m-2-pcie-nvme-intel-uhd-graphics-hd-rgb-cam-wi-fi-6-fpr-bulgarian-ubuntu-carbon-3y-p.html
Ft229024.43,Настолен компютър VALI OFFICE PREMIUM,https://allstore.bg/product/614232/nastolen-kompyutar-vali-office-premium.html
Ft238620.53,ACER ASPIRE A17-51M-562E,https://allstore.bg/product/606355/acer-aspire-a17-51m-562e.html
