price,title,url
Ft117665.97,ASROCK Intel Arc B580 Challenger OC 12GB GDDR6 192-bit HDMI 3x DP,https://allstore.bg/product/611770/asrock-intel-arc-b580-challenger-oc-12gb-gddr6-192-bit-hdmi-3x-dp.html
Ft122072.24,ASROCK Intel Arc B580 Steel Legend OC 12GB GDDR6 192-bit HDMI 3x DP,https://allstore.bg/product/611735/asrock-intel-arc-b580-steel-legend-oc-12gb-gddr6-192-bit-hdmi-3x-dp.html
Ft127416.43,Видео карта ASRock Intel ARC B580 Challenger 12GB OC,https://allstore.bg/product/615516/video-karta-asrock-intel-arc-b580-challenger-12gb-oc.html
Ft139355.37,Видео карта Asrock Intel Arc B580 Steel Legend 12GB OC,https://allstore.bg/product/589429/video-karta-asrock-intel-arc-b580-steel-legend-12gb-oc.html
