Turbo Boost до:,currency,page,price,source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:
4.70 GHz,BGN,1,лв344.23,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071505093011,https://www.ardes.bg/product/intel-core-i5-13600kf-3-5ghz-tray-cm8071504821006-449919,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.90 GHz,BGN,1,лв473.31,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600K (3.7GHz) - BX8071512600K,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071505093011-513737,36 месеца гаранция,L3: 20 MB,16,3.70 GHz,LGA1700,10
4.90 GHz,BGN,1,лв402.90,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-bx8070811400srkp0-205378,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,лв402.90,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-12600k-3-7ghz-bx8071512600k-234257,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10
4.70 GHz,BGN,1,лв398.99,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,лв625.87,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
5.70 GHz,BGN,1,лв1230.22,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core Ultra 9 285K (3.20GHz) - BX80768285K,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,36 месеца гаранция,L2: 40 MB L3: 36 MB,24,3.20 GHz,LGA1851,24
5.70 GHz,BGN,1,лв1230.22,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core Ultra 9 285K (3.20GHz) - BX80768285K,https://www.ardes.bg/product/intel-core-ultra-9-285k-3-20ghz-bx80768285k-443533,36 месеца гаранция,L2: 40 MB L3: 36 MB,24,3.20 GHz,LGA1851,24
5.10 GHz,BGN,1,лв459.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-bx8071513400-307193,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
4.90 GHz,BGN,1,лв473.31,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600K (3.7GHz) - BX8071512600K,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195,36 месеца гаранция,L3: 20 MB,16,3.70 GHz,LGA1700,10
5.00 GHz,BGN,1,лв690.41,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071504821113-461738,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14
4.70 GHz,BGN,1,лв625.87,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
5.10 GHz,BGN,1,лв731.48,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i7-13700-1-5ghz-bx8071513700-307196,60 месеца гаранция,L3: 30 MB,24,1.50 GHz,LGA1700,16
