currency,price,source,title,url
BGN,лв267.95,Ardes,Процесор Intel Core i5-12400F (2.5GHz) TRAY - CM8071504555318,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195
BGN,лв267.95,Ardes,Процесор Intel Core i5-12400F (2.5GHz) TRAY - CM8071504555318,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195
BGN,лв352.05,Ardes,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723
BGN,лв352.05,Ardes,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723
BGN,лв690.41,Ardes,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-tray-cm8071505093101-475901
BGN,лв690.41,Ardes,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-tray-cm8071505093101-475901
BGN,лв690.41,Ardes,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-bx8071512600kf-237821
BGN,лв690.41,Ardes,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-bx8071512600kf-237821
BGN,лв367.70,Ardes,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820
BGN,лв367.70,Ardes,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820
BGN,лв567.19,Ardes,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-ultra-7-265-2-4-ghz-bx80768265srqcx-464723
BGN,лв567.19,Ardes,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-ultra-7-265-2-4-ghz-bx80768265srqcx-464723
BGN,лв567.19,Ardes,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-i7-12700f-2-1ghz-bx8071512700fsrl4r-267846
BGN,лв567.19,Ardes,Процесор Intel Core i7-12700F (2.1GHz) - BX8071512700FSRL4R,https://www.ardes.bg/product/intel-core-i7-12700f-2-1ghz-bx8071512700fsrl4r-267846
