Turbo Boost до:,currency,page,price,source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:
4.90 GHz,BGN,1,402.9,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-bx8071512600kf-237821,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,402.9,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-tray-cm8071505093101-475901,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10
5.00 GHz,BGN,1,690.41,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14
4.70 GHz,BGN,1,367.7,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,367.7,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071504821113-461738,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,625.87,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,625.87,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,197.54,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i3-14100F (3.5GHz) - CM8071505092207,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,36 месеца гаранция,L2: 5 MB L3: 12 MB,8,3.50 GHz,LGA1700,4
5.10 GHz,BGN,1,731.48,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i3-14100f-3-5ghz-cm8071505092207-516493,60 месеца гаранция,L3: 30 MB,24,1.50 GHz,LGA1700,16
5.10 GHz,BGN,1,731.48,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i7-13700-1-5ghz-bx8071513700-307196,60 месеца гаранция,L3: 30 MB,24,1.50 GHz,LGA1700,16
