currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url,арт. номера,гаранция,серия процесори,съвместим сокет,честота процесор.
BGN,BGN,145.29,1,лв145.29,Hits.bg,BGN,HitsBGScraper,"ПРОЦЕСОР INTEL ALDER LAKE CORE I5-12400F, 6 CORES, 12 THREADS (2.50 GHZ UP TO 4.40 GHZ, 18MB, LGA1700), 65W, BOX",https://hits.bg/protsesor-intel-alder-lake-core-i5-12400f-6-cores-12-threads-250-ghz-up-to-440-ghz-18mb-lga1700-65w-box,bx8071512400f,36 месеца,intel core i5,1700,2.5 ghz
BGN,BGN,162.42,1,лв162.42,Hits.bg,BGN,HitsBGScraper,INTEL CORE I5-11400 2.6GHZ LGA1200 12M CACHE CPU TRAY,https://hits.bg/intel-core-i5-11400-26ghz-lga1200-12m-cache-cpu-tray,cm8070804497015,,,,
