4G/LTE,80 PLUS Certification,Architecture Features,Audio & Video / Resolution,Audio Features,Audio Input / Type,Battery / Technology,Battery Run Time,Bays,Bluetooth,Bluetooth Class,Built-in Devices,Bundled Services,Bundled with,CPU Cache Size,CPU Qty,CPU Upgradability,Cache,Cache Memory Details,Cache Per Processor,Camera,Camera / Features,Camera Features,Capacity,Card Reader / Type,Case Material,Chipset,Chipset Type,Clock Speed,Codec,Colour,Colour Gamut,Communications / Features,Compliant Standards,Configuration Features,Connectivity,Controller Interface Type,DVI конектор,Data Link Protocol,Depth,Device Type,Diagonal Size,Dimensions & Weight Details,Dimensions (WxDxH),Display / Features,Display порт,Dockable,EAN,EAN код,ENERGY STAR Certified,Effective Memory Speed,Efficiency,Efficient-core Base Clock Rate,Efficient-core Turbo Clock Rate,Efficient-cores Quantity,Embedded Security,Empty Slots,Ethernet (RJ-45) порт,Ethernet Controller,Expansion / Connectivity / Slots,Features,Form Factor,Gaming,HDCP Compatible,HDD,HDMI,HDMI порт,Hard Drive / Features,Hard Drive / Type,Height,Horizontal Viewing Angle,Image Aspect Ratio,Image Brightness,Image Contrast Ratio,Included Accessories,Input,Input / Features,Input / Type,Input Device / Type,Installed Size,Integrated Options,Interface,Interface (Bus) Type,Interface Type,Interfaces,Interfaces Details,Keyboard Backlight,Keyboard Layout,Keyboard Name,L2 cache,LCD Backlight Technology,Localisation,Localization,Localization & Layout,M.2 слот,Manufacturer,Manufacturer Part No,Manufacturing Process,Max CPU Qty,Max Monitors Supported,Max Number of DMI Lanes,Max Number of PCI Express Lanes,Max RAM Supported,Max Sampling Rate,Max Turbo Speed,Maximum Installable RAM,Maximum TDP,Memory Card Reader,Miscellaneous / Compliant Standards,Miscellaneous / Features,Monitor Features,Monitor Type,Mouse / Connectivity,Mouse / Interface,Mouse Name,Multi-GPU Configuration,Native Resolution,Network Interface,Networking / Compliant Standards,Networking / Features,Number of Cores,Number of Threads,Numeric Keypad,Optical Storage / Type,Output,PCI Express Configurations,PCI Express Lanes Qty,PCI Express Revision,Package Type,Paralel порт,Performance-core Turbo Clock Rate,Performance-cores Quantity,Pixel Pitch,Platform Technology,Power Factor Correction,Power Provided,Processor Main Features,Processor Qty,Product Type,RAM памет,"RAM памет, тип",Rated Memory Speed,Rated Speed,Remote Management Protocol,Resolution (MP),Response Time,Run Time,S/PDIF конектор,SSD,Security,Security Slot Type,Sensors,Serial порт,Service & Support,Shipping Depth,Shipping Height,Shipping Weight,Shipping Width,Slots,Slots Qty,Software,Software Included,Sound,Sound Output Mode,Speakers,Speakers Included,Speed,Storage Controller / Type,Supported Flash Memory Cards,Supported Memory Speed,Surface Finish,TCO Certified,Theft/Intrusion Protection,Thermal Design Power,Thermal Specification,Threads Quantity,Thunderbolt 4,Touchscreen,Turbo Boost честота,Turbo Clock Rate,Type,Type / Form Factor,USB 3.2 Gen 1,USB порт,V-Sync Rate at Max Res.,VESA Mounting Interface,VGA конектор,Vertical Viewing Angle,Video Interfaces,Video Resolutions,Video System Features,Voltage Required,WI-FI,Warranty,"Web камера, MP",Weight,Widescreen,Widescreen Display,Width,Windows OS,Wireless,Wireless Controller,Wireless LAN Supported,Wireless NIC,currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url,Аксесоари в комплекта,Артикул,Архитектура,Аудио портове,Аудио чипсет,Аудио/Видео характеристики,"Батерия, cell",Безжична мрежа,Брой в пакет,Брой инсталирани батерии,Брой клетки в батерията,Брой ядра на CPU,Вградени устройства,Видео,"Видео карта, GB",Видео памет,Видове памет,Височина на пакет (мм),Включени аксесоари,Гаранционни продукти - подлежащи на връщане,Гаранционни условия (месец),Гаранция,"Гаранция, м.",Графичен ускорител,"Дисплей, тип",Други,Дълбочина,Дълбочина на пакета (мм),Звук,Име на ядро,Канали на паметта,"Кеш, MB",Кирилизация,"Клавиатура, тип",Консумирана енергия при работа,Критерии за валидност на гаранцията,Кутия,Логически ядра,Локализация на клавиатурата,Максимална скорост на видео-опресняване,Максималният размер на паметта,Максимално изходно захранване,Метод на охлаждане,Модел,Монитор,Мрежа,Набор на команди,Напрежение на входа,Общ брой слотове за памет,Операционна система,Оптично устройство,Отключен множител,Охладител,Пакети в кашон,"Памет, слотове",Поколение,Покритие на корпуса,Порт за слушалки,Процесор,Процесор - Име на ядро,"Процесор, серия",Размер на диска,Размер на екрана,"Размери (Ш, Д, В), cm",Разположение на захранването,Разширителен порт,Резолюция на екрана,Серия,Сокет,Съвместими аудио стандарти,Съвместимост на платформата,"Твърд диск, тип",Тегло,Тегло на кашон - Бруто (кг),Тегло на пакет - Бруто (кг),"Тегло, кг.",Термична мощност - TDP (W),Технология на батерията,Технология на производството,Тип Продукт,Тип аудио изход,Тип видео памет,Тип захранващи конектори,Тип на екрана,Тип пакет,Тип паметта,Тип система,Тип флаш памет,Уеб камера,Физически ядра,Форм фактор на паметта,Характеристики за сигурност,Характеристики на дисплея,Характеристики на клавиатурата,Цвят на екрана,Цокъл на процесора,Честота на входа,"Честота на опресняване, Hz","Честота, GHz",Четец за карти,Четец на пръстов отпечатък,Чипсет,Чипсет на дънната платка,Ширина,Широчина на пакет (мм)
,,"Intel Gaussian and Neural Accelerator 3.0, Intel Thread Director, Intel Deep Learning Boost (DL Boost), Intel Speed Shift Technology, Intel Turbo Boost Technology 2.0, Hyper-Threading Technology, Intel 64 Technology, Instruction Set 64-bit, streaming SIMD extensions 4.1, streaming SIMD extensions 4.2, Intel Advanced Vector Extensions 2 (AVX2.0), Idle States, Enhanced SpeedStep technology, Thermal Monitoring Technologies, Intel Volume Management Device (VMD), Intel Standard Manageability (ISM), Intel Control-Flow Enforcement Technology, Intel AES New Instructions (AES-NI), Intel Secure Key, Intel OS Guard, Execute Disable Bit capability, Intel Boot Guard, Mode-based Execute Control (MBEC), Intel VT-x with Extended Page Tables (EPT), Intel Virtualization Technology, Intel Virtualization Technology for Directed I/O (VT-d)",,,,,,,,,,,,,,,,Smart Cache - 24 MB L2 - 20 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL,CM8071504821014,,,,,,,,5.3 GHz (P-core) / 4 GHz (E-core),,,,,,,,,,,,,,,,,20 threads,,,,"1x16+4, 2x8+4",20,4.0/5.0,OEM/tray,,,,,,,,,1,Processor,,,,,,,,,,,,,,,Limited warranty - 1 year,,,,,,,,,,,,,,,,,,,,181 W,100 °C,,,,,,,Intel Core i5 i5-14600KF (14th Gen),,,,,,,,,,,,60 months,,,,,,,,,,,BGN,BGN,394.8,1,лв394.80,Optimal-Computers.bg,BGN,OptimalComputersScraper,INTEL Core i5-14600KF 3.5Ghz LGA1700 24MB Cache Tray CPU,https://optimal-computers.bg/komponenti/protzesori/intel-core-i514600kf-35ghz-lga1700-24mb-cache-tray-cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCLGA1700 Socket,,,,,,,,,,,,,,,,,,,,,14-core,,,,,,,,,3.5 GHz (P-core) / 2.6 GHz (E-core),,,,,,
,,"Intel Gaussian and Neural Accelerator 3.0, Intel Thread Director, Intel Deep Learning Boost (DL Boost), Intel Speed Shift Technology, Enhanced SpeedStep technology, Execute Disable Bit capability, Hyper-Threading Technology, Idle States, Instruction Set 64-bit, Intel 64 Technology, Intel Adaptive Boost Technology, Intel Advanced Vector Extensions 2 (AVX2.0), Intel AES New Instructions (AES-NI), Intel Boot Guard, Intel Control-Flow Enforcement Technology, Intel OS Guard, Intel Secure Key, Intel SSE4.1, Intel SSE4.2, Intel Standard Manageability (ISM), Intel Thermal Velocity Boost, Intel Turbo Boost Max Technology 3.0, Intel Turbo Boost Technology 2.0, Intel Virtualization Technology for Directed (VT-x), Intel Virtualization Technology for Directed I/O (VT-d), Intel Volume Management Device (VMD), Intel VT-x with Extended Page Tables (EPT), Mode-based Execute Control (MBEC), Thermal Monitoring Technologies",,,,,,,,,,,,,,,,Smart Cache - 20 MB L2 - 9.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032037279147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL,BX8071514400F S RN3R,10 nm,,,,,,,4.7 GHz (P-core) / 3.5 GHz (E-core),,,,,,,,,,,,,,,,,16 threads,,,,"1x16+4, 2x8+4",20,4.0/5.0,Intel Boxed,,,,,,,,,1,Processor,,,,,,,,,,,,,,,Limited warranty - 3 years,3.75 cm,,,4.5 cm,,,,,,,,,,,,,,,,148 W,100 °C,,,,,,,Intel Core i5 i5-14400F (14th Gen),,,,,,,,,,,,36 months,,,,,,,,,,,BGN,BGN,467.21,1,лв467.21,Optimal-Computers.bg,BGN,OptimalComputersScraper,INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Boxed CPU,https://optimal-computers.bg/komponenti/protzesori/intel-core-i514400f-25ghz-lga1700-20m-cache-boxed-cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCLGA1700 Socket,,,,,,,,,,,,,,,,,,,,,10-core,,,,,,,,,2.5 GHz (P-core) / 1.8 GHz (E-core),,,,,,
,,"Enhanced SpeedStep technology, Execute Disable Bit capability, Hyper-Threading Technology, Idle States, Instruction Set 64-bit, Intel 64 Technology, Intel Advanced Vector Extensions 2 (AVX2.0), Intel AES New Instructions (AES-NI), Intel Boot Guard, Intel Control-Flow Enforcement Technology, Intel Deep Learning Boost (DL Boost), Intel Gaussian and Neural Accelerator 3.0, Intel OS Guard, Intel Secure Key, Intel Speed Shift Technology, Intel Standard Manageability (ISM), Intel Thread Director, Intel Turbo Boost Technology 2.0, Intel Virtualization Technology, Intel Virtualization Technology for Directed I/O (VT-d), Intel Volume Management Device (VMD), Intel VT-x with Extended Page Tables (EPT), Mode-based Execute Control (MBEC), Thermal Monitoring Technologies, streaming SIMD extensions 4.1, streaming SIMD extensions 4.2",,,,,,,,,,,,,,,,Smart Cache - 20 MB L2 - 9.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032037260299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL,BX8071513400F,10 nm,,,,,,,4.6 GHz (P-core) / 3.3 GHz (E-core),,,,,,,,,,,,,,,,,16 threads,,,,"1x16+4, 2x8+4",20,4.0/5.0,Intel Boxed,,,,,,,,,1,Processor,,,,,,,,,,,,,,,Limited warranty - 3 years,,,,,,,,,,,,,,,,,,,,148 W,100 °C,,,,,,,Intel Core i5 13400F (13th Gen),,,,,,,,,,,,36 months,,,,,,,,,,,BGN,BGN,312.74,1,лв312.74,Optimal-Computers.bg,BGN,OptimalComputersScraper,INTEL Core i5-13400F 2.5Ghz FC-LGA16A 20M Cache Boxed CPU,https://optimal-computers.bg/komponenti/protzesori/intel-core-i513400f-25ghz-fclga16a-20m-cache-boxed-cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCLGA1700 Socket,,,,,,,,,,,,,,,,,,,,,10-core,,,,,,,,,2.5 GHz (P-core) / 1.8 GHz (E-core),,,,,,
,,"Intel Gaussian and Neural Accelerator 3.0, Intel Thread Director, Intel Deep Learning Boost (DL Boost), Intel Speed Shift Technology, Enhanced SpeedStep technology, Execute Disable Bit capability, Hyper-Threading Technology, Idle States, Instruction Set 64-bit, Intel 64 Technology, Intel Adaptive Boost Technology, Intel Advanced Vector Extensions 2 (AVX2.0), Intel AES New Instructions (AES-NI), Intel Boot Guard, Intel Control-Flow Enforcement Technology, Intel OS Guard, Intel Secure Key, Intel SSE4.1, Intel SSE4.2, Intel Standard Manageability (ISM), Intel Thermal Velocity Boost, Intel Turbo Boost Max Technology 3.0, Intel Turbo Boost Technology 2.0, Intel Virtualization Technology for Directed (VT-x), Intel Virtualization Technology for Directed I/O (VT-d), Intel Volume Management Device (VMD), Intel VT-x with Extended Page Tables (EPT), Mode-based Execute Control (MBEC), Thermal Monitoring Technologies",,,,,,,,,,,,,,,,Smart Cache - 20 MB L2 - 9.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL,CM8071505093011,10 nm,,,,,,,4.7 GHz (P-core) / 3.5 GHz (E-core),,,,,,,,,,,,,,,,,16 threads,,,,"1x16+4, 2x8+4",20,4.0/5.0,OEM/tray,,,,,,,,,1,Processor,,,,,,,,,,,,,,,,3.75 cm,,,4.5 cm,,,,,,,,,,,,,,,,148 W,100 °C,,,,,,,Intel Core i5 i5-14400F (14th Gen),,,,,,,,,,,,36 months,,,,,,,,,,,BGN,BGN,314.34,1,лв314.34,Optimal-Computers.bg,BGN,OptimalComputersScraper,INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Tray CPU,https://optimal-computers.bg/komponenti/protzesori/intel-core-i514400f-25ghz-lga1700-20m-cache-tray-cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCLGA1700 Socket,,,,,,,,,,,,,,,,,,,,,10-core,,,,,,,,,2.5 GHz (P-core) / 1.8 GHz (E-core),,,,,,
,,"Intel Gaussian and Neural Accelerator 3.0, Intel Deep Learning Boost (DL Boost), Intel Optane Memory Supported, Intel Speed Shift Technology, Intel Turbo Boost Technology 2.0, Hyper-Threading Technology, Intel Virtualization Technology, Intel Virtualization Technology for Directed I/O (VT-d), Intel VT-x with Extended Page Tables (EPT), Intel 64 Technology, Instruction Set 64-bit, streaming SIMD extensions 4.1, streaming SIMD extensions 4.2, Intel Advanced Vector Extensions 2 (AVX2.0), Idle States, Enhanced SpeedStep technology, Thermal Monitoring Technologies, Intel Volume Management Device (VMD), Intel AES New Instructions (AES-NI), Intel Secure Key, Intel OS Guard, Execute Disable Bit capability, Intel Boot Guard, Mode-based Execute Control (MBE), Intel Control-Flow Enforcement Technology",,,,,,,,,,,,,,,,L3 - Smart Cache - 18 MB L2 - 7.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032037237758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL,BX8071512400F,10 nm,,,,,,,4.4 GHz,,,,,,,,,,,,,,,,,12 threads,,,,"1x16+4, 2x8+4",20,4.0/5.0,Intel Boxed,,,,,,,,,1,Processor,,,,,,,,,,,,,,,Limited warranty - 3 years,,,,,,,,,,,,,,,,,,,,117 W,100 °C,,,,,,,Intel Core i5 12400F (12th Gen),,,,,,,,,,,,36 months,,,,,,,,,,,BGN,BGN,257.86,1,лв257.86,Optimal-Computers.bg,BGN,OptimalComputersScraper,INTEL Core i5-12400F 2.5GHz LGA1700 18M Cache Boxed CPU NON-K,https://optimal-computers.bg/komponenti/protzesori/intel-core-i512400f-25ghz-lga1700-18m-cache-boxed-cpu-nonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGA1700 Socket,,,,,,,,,,,,,,,,,,,,,6-core,,,,,,,,,2.5 GHz,,,,,,
,,,,,,,,"1 (total) / 1 (free) x internal 3.5""",,,Speaker,3 Years Lenovo Onsite Support,,,1,,,,20 MB,,,,,Card reader,,,Intel B760,2.5 GHz (P-core) / 1.8 GHz (E-core),,"Black (chassis), grey (bezel)",,,High Definition Audio,1 x 16 GB,,,,"Ethernet, Fast Ethernet, Gigabit Ethernet",29.14 cm,Power supply,,,,,,,,,,,85%,,,,Discrete Trusted Platform Module (TPM 2.0) Security Chip,,,,1 PCIe 3.0 x16 - low-profile 1 PCIe 3.0 x1 - low-profile 1 M.2 Card (for SSD) 1 M.2 Card (for WLAN),"Unbuffered, dual channel memory architecture",DIMM 288-pin,,,512GB M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0,,,"TCG Opal Encryption 2, NVM Express (NVMe)",SSD - M.2 2280,33.95 cm,,,,,,,,,"Mouse, keyboard",20 MB,,USB,,PCI Express 4.0 x4,4 x USB 2.0 (4 rear) (one of them supports SmartPower On) 1 x HDMI (1 rear) (TMDS compatible) 1 x DisplayPort 1.4 (1 rear) 1 x VGA (1 rear) 1 x LAN (1 rear) 1 x audio line-out (1 rear) 1 x USB-C 3.2 Gen 1 (1 front) (15W charging) 2 x USB 3.2 Gen 1 (2 front) 1 x headphones/microphone (1 front) 1 x microphone (1 front),,,,Lenovo Calliope Keyboard,,,Language: Bulgarian,,Bulgarian,,LENOVO,12XD008CBL,,1,,,,,,4.7 GHz (P-core) / 3.5 GHz (E-core),,,,TCG Certified,,,None.,,USB,Lenovo Calliope Mouse,,,,,,10-core,,,DVD±RW DVD-Writer - SATA,,,,,,,,,,,,180 Watt,,,,16 GB (installed) / 64 GB (max),,2400 MHz,,,,,,,1 x 512 GB,,Kensington security slot,,,Base warranty - 1 year - pick-up and return Extended warranty - 3 years - on-site,,,,,2 (Total) / 1 (empty),,,,,,,1 x tweeter,,,SD Memory Card,,,Desktops 9,"Security lock slot (cable lock sold separately), chassis intrusion switch",,,,,,,,Personal computer,,,,,,,,,,,AC 100-240 V (50/60 Hz),,36 months,,4.2 kg,,,9.25 cm,,,,,,BGN,BGN,1189.69,1,лв1189.69,Optimal-Computers.bg,BGN,OptimalComputersScraper,LENOVO ThinkCentre Neo 50s G5 Intel Core i5-14400 16GB DDR5 512GB M.2 UMA Slim DVD Writer 9mm DOS...,https://optimal-computers.bg/kompyutri/nastolni-kompyutri/lenovo-thinkcentre-neo-50s-g5-sff-intel-core-i514400-up-to-47ghz-20mb-16gb-ddr54800-512gb-ssd-intel-,,,,,,,,,,,,,,Intel UHD Graphics 730 Shared Video Memory (UMA),,,,,,,,,,,,,,,,,,,,,,,SFF,,,,,,,,,,,,,No operating system,,,,,,,,,Intel Core i5 (14th Gen) i5-14400,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR5,,,,,,,,,,,,,,,,,,,
,,,5 Megapixel,Output: Nahimic audio,,Lithium polymer,,,,,,,,,,,20 MB,,,Yes,,"Fixed focus, e-camera shutter",60 Wh,,"Polycarbonate ABS (bottom), polycarbonate ABS (top)",Intel HM770,,,Realtek ALC3287,Luna grey,100% sRGB,Dual stream (2x2),High Definition Audio,,,,,,,,,,35.986 cm x 25.87 cm x 2.39 cm,"Anti-glare, NVIDIA G-SYNC compatible, Low Blue Light technology, 88% screen-to-body ratio",,,,,,,,,,,,,,,,Integrated memory controller,SO-DIMM 262-pin,Yes,,,,,,,,,16:9,300 cd/m²,,Power adapter,AC 100-240 V (50/60 Hz),"Buttonless touchpad, precision multi-touch touchpad","Keyboard, touchpad",,,,,,,,3 x USB 3.2 Gen 1 USB-C 3.2 Gen 2 (supports DisplayPort 1.4 Alt Mode) (100W power delivery) HDMI (8K support) Headphone/microphone combo jack (mini-phone 3.5 mm) LAN (RJ-45),Yes (white),Bulgarian,,,,,Language: English / region: Bulgaria,,,LENOVO,83JE0119BM,,,,,,32 GB,,4.6 GHz,,,,"RoHS, Energy-Related Products (ErP) Lot 6, Energy-Related Products (ErP) Lot 26, TUV Rheinland Low Blue Light (Software Solution)",LA1 chip,,,,,,1 single GPU card / integrated GPU,,,,,10-core,,Yes,,170 Watt,,,,,,,,,,,,,,Notebook,32 GB (2 x 16 GB),DDR5 SDRAM,,,,,,,,,Firmware Trusted Platform Module (TPM 2.0)  Chip,,,,,,,,,2 x M.2 (PCI Express 4.0 x4) (1 free),2,,Microsoft Office (Trial),"Stereo speakers, dual array microphone",,,,4800 MT/s,,,,Painting,,,,,,,,,,"15.6"" - IPS",,,,144 Hz,,,,,,,,,24 months,,,Yes,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.2",,,,BGN,BGN,2679.88,1,лв2679.88,Optimal-Computers.bg,BGN,OptimalComputersScraper,LENOVO LOQ 15IRX10 Intel Core i5-13450HX 15.6inch FHD 32GB 512GB RTX 5050 8GB W11H,https://optimal-computers.bg/laptop/laptopi/lenovo-loq-15irx10-intel-core-i513450hx-156inch-fhd-32gb-512gb-rtx-5050-8gb-w11h,,,,,,,,,,,,,,NVIDIA GeForce RTX 5050 / Intel UHD Graphics - up to 440 TOPS,,8 GB GDDR7 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 11 Home - English,,,,,,,,,Intel Core i5 (13th Gen) 13450HX / 2.4 GHz,,,512 GB SSD M.2 2242 PCIe 4.0 x4 - NVM Express (NVMe),,,,,1920 x 1080 (Full HD),,,,,,2.4 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5 Megapixel,Output: Nahimic audio,,Lithium polymer,,,,,,,,,,,20 MB,,,Yes,,"Fixed focus, e-camera shutter",60 Wh,,"Polycarbonate ABS (bottom), polycarbonate ABS (top)",Intel HM770,,,Realtek ALC3287,Luna grey,100% sRGB,Dual stream (2x2),High Definition Audio,,,,,,,,,,35.986 cm x 25.87 cm x 2.39 cm,"Anti-glare, NVIDIA G-SYNC compatible, Low Blue Light technology, 88% screen-to-body ratio",,,,,,,,,,,,1,,,,Integrated memory controller,SO-DIMM 262-pin,Yes,,,,,,,,,16:9,300 cd/m²,,Power adapter,AC 100-240 V (50/60 Hz),"Buttonless touchpad, precision multi-touch touchpad","Keyboard, touchpad",,,,,,,,3 x USB 3.2 Gen 1 USB-C 3.2 Gen 2 (supports DisplayPort 1.4 Alt Mode) (100W power delivery) HDMI (8K support) Headphone/microphone combo jack (mini-phone 3.5 mm) LAN (RJ-45),Yes (white),Bulgarian,,,,,Language: English / region: Bulgaria,,,LENOVO,83JE00VRBM,,,,,,32 GB,,4.6 GHz,,,,"RoHS, Energy-Related Products (ErP) Lot 6, Energy-Related Products (ErP) Lot 26, TUV Rheinland Low Blue Light (Software Solution)",LA1 chip,,,,,,1 single GPU card / integrated GPU,,,,,10-core,,Yes,,170 Watt,,,,,,,,,,,,,,Notebook,16 GB (1 x 16 GB),DDR5 SDRAM,,,,,,,,,Firmware Trusted Platform Module (TPM 2.0)  Chip,,,,,,,,,2 x M.2 (PCI Express 4.0 x4) (1 free),2,,,"Stereo speakers, dual array microphone",,,,4800 MT/s,,,,Painting,,,,,,,,,,"15.6"" - IPS",,,,144 Hz,,,,,,,,,24 months,,,Yes,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.2",,,,BGN,BGN,2252.37,1,лв2252.37,Optimal-Computers.bg,BGN,OptimalComputersScraper,LENOVO LOQ Intel Core i5-13450HX 15.6inch FHD 144Hz 16GB DDR5 1TB PCIe RTX 5050 8GB NoOS Luna Grey,https://optimal-computers.bg/laptop/laptopi/lenovo-loq-intel-core-i513450hx-156inch-fhd-144hz-16gb-ddr5-1tb-pcie-rtx-5050-8gb-noos-luna-grey,,,,,,,,,,,,,,NVIDIA GeForce RTX 5050 / Intel UHD Graphics - up to 440 TOPS,,8 GB GDDR7 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel Core i5 (13th Gen) 13450HX / 2.4 GHz,,,1 TB SSD M.2 2242 PCIe 4.0 x4 - NVM Express (NVMe),,,,,1920 x 1080 (Full HD),,,,,,2.4 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5 Megapixel,Output: Nahimic audio,,Lithium polymer,,,,,,,,,,,20 MB,,,Yes,,"Fixed focus, e-camera shutter",60 Wh,,"Polycarbonate ABS (bottom), polycarbonate ABS (top)",Intel HM770,,,Realtek ALC3287,Luna grey,100% sRGB,Dual stream (2x2),High Definition Audio,,,,,,,,,,35.986 cm x 25.87 cm x 2.39 cm,"Anti-glare, NVIDIA G-SYNC compatible, Low Blue Light technology, 88% screen-to-body ratio",,,,,,,,,,,,1,,,,Integrated memory controller,SO-DIMM 262-pin,Yes,,,,,,,,,16:9,300 cd/m²,,Power adapter,AC 100-240 V (50/60 Hz),"Buttonless touchpad, precision multi-touch touchpad","Keyboard, touchpad",,,,,,,,3 x USB 3.2 Gen 1 USB-C 3.2 Gen 2 (supports DisplayPort 1.4 Alt Mode) (100W power delivery) HDMI (8K support) Headphone/microphone combo jack (mini-phone 3.5 mm) LAN (RJ-45),Yes (white),Bulgarian,,,,,Language: English / region: Bulgaria,,,LENOVO,83JE00YFBM,,,,,,32 GB,,4.6 GHz,,,,"RoHS, Energy-Related Products (ErP) Lot 6, Energy-Related Products (ErP) Lot 26, TUV Rheinland Low Blue Light (Software Solution)",LA1 chip,,,,,,1 single GPU card / integrated GPU,,,,,10-core,,Yes,,170 Watt,,,,,,,,,,,,,,Notebook,16 GB (1 x 16 GB),DDR5 SDRAM,,,,,,,,,Firmware Trusted Platform Module (TPM 2.0)  Chip,,,,,,,,,2 x M.2 (PCI Express 4.0 x4) (1 free),2,,Microsoft Office (Trial),"Stereo speakers, dual array microphone",,,,4800 MT/s,,,,Painting,,,,,,,,,,"15.6"" - IPS",,,,144 Hz,,,,,,,,,24 months,,,Yes,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.2",,,,BGN,BGN,2345.35,1,лв2345.35,Optimal-Computers.bg,BGN,OptimalComputersScraper,LENOVO LOQ Intel Core i5-13450HX 15.6inch FHD 144Hz 16GB DDR5 512GB PCIe RTX 5050 8GB W11H Luna Grey,https://optimal-computers.bg/laptop/laptopi/lenovo-loq-intel-core-i513450hx-156inch-fhd-144hz-16gb-ddr5-512gb-pcie-rtx-5050-8gb-w11h-luna-grey,,,,,,,,,,,,,,NVIDIA GeForce RTX 5050 / Intel UHD Graphics - up to 440 TOPS,,8 GB GDDR7 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 11 Home - English,,,,,,,,,Intel Core i5 (13th Gen) 13450HX / 2.4 GHz,,,512 GB SSD M.2 2242 PCIe 4.0 x4 - NVM Express (NVMe),,,,,1920 x 1080 (Full HD),,,,,,2.4 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
