converted_price,currency,original_currency,original_price,page,price,source,source_currency,source_scraper,target_currency,title,url
476.1428,EUR,EUR,242.93,1,лв476.14,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър HP ProBook 440 G6 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A-",https://allstore.bg/product/622414/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
502.25,EUR,EUR,256.25,1,лв502.25,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake i5-14600KF TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/623053/protsesor-intel-raptor-lake-i5-14600kf-tray-14-cores-3-5-ghz-24mb-125w-lga1700.html
533.708,EUR,EUR,272.3,1,лв533.71,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър HP ProBook 440 G6 14``, 1920 x 1080, IPS, Intel Core i5‑8250U (8-мо поколение), 8 GB DDR4, 256 GB, клас A",https://allstore.bg/product/622495/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
546.4676,EUR,EUR,278.81,1,лв546.47,Allstore.bg,EUR,AllStoreScraper,BGN,"Intel CPU Desktop Core i5-14500 (up to 5.00 GHz, 24M Cache, LGA1700) box",https://allstore.bg/product/615070/intel-cpu-desktop-core-i5-14500-up-to-5-00-ghz-24m-cache-lga1700-box.html
557.9336000000001,EUR,EUR,284.66,1,лв557.93,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake i5-14600K, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, BOX",https://allstore.bg/product/623999/renoviran-laptop-fujitsu-lifebook-u939x-13-3-1920-x-1080-ips-intel-core-i5-8265u-8-mo-pokolenie-16-gb-ddr3-256-gb-m-2-nvme-klas-a.html
557.9336000000001,EUR,EUR,284.66,1,лв557.93,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake i5-14600K, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, BOX",https://allstore.bg/product/614913/protsesor-intel-raptor-lake-i5-14600k-14-cores-3-5-ghz-24mb-125w-lga1700-box.html
561.2067999999999,EUR,EUR,286.33,1,лв561.21,Allstore.bg,EUR,AllStoreScraper,BGN,Процесор Intel Core i5-13400 4.60GHz L1700 Tray,https://allstore.bg/product/615728/protsesor-intel-core-i5-13400-4-60ghz-l1700-tray.html
564.48,EUR,EUR,288.0,1,лв564.48,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран лаптоп Fujitsu LifeBook U759 15.6``, 1920 x 1080, IPS, Intel Core i5-8265U (8-мо поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас А",https://allstore.bg/product/623996/renoviran-laptop-fujitsu-lifebook-u759-15-6-1920-x-1080-ips-intel-core-i5-8265u-8-mo-pokolenie-8-gb-ddr4-256-gb-m-2-nvme-klas-a.html
578.592,EUR,EUR,295.2,1,лв578.59,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Dell Latitude 5410 14``, 1920 x 1080, IPS, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/609453/renoviran-prenosim-kompyutar-dell-latitude-5410-14-1920-x-1080-ips-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
578.592,EUR,EUR,295.2,1,лв578.59,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Fujitsu Lifebook E5411 14``, 1920 x 1080, IPS, Intel Core i5‑1135G7 (11-то поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/609385/renoviran-prenosim-kompyutar-fujitsu-lifebook-e5411-14-1920-x-1080-ips-intel-core-i5-1135g7-11-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
584.962,EUR,EUR,298.45,1,лв584.96,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-14400, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/615346/protsesor-intel-raptor-lake-core-i5-14400-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
585.5108,EUR,EUR,298.73,1,лв585.51,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-14400 TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/622088/protsesor-intel-raptor-lake-core-i5-14400-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
605.836,EUR,EUR,309.1,1,лв605.84,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13400 TRAY, 6P+4E Cores, 16 Threads (2.50 GHz Up to 4.60 GHz, 20MB, LGA1700), 65W",https://allstore.bg/product/609470/renoviran-prenosim-kompyutar-fujitsu-lifebook-e5410-14-1920-x-1080-wva-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
605.836,EUR,EUR,309.1,1,лв605.84,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13400 TRAY, 6P+4E Cores, 16 Threads (2.50 GHz Up to 4.60 GHz, 20MB, LGA1700), 65W",https://allstore.bg/product/622390/protsesor-intel-raptor-lake-core-i5-13400-tray-6p-4e-cores-16-threads-2-50-ghz-up-to-4-60-ghz-20mb-lga1700-65w.html
122.0492,EUR,EUR,62.27,1,лв122.05,Allstore.bg,EUR,AllStoreScraper,BGN,"Дънна платка BIOSTAR H81MHV3, Intel H81, sock. 1150, Ver 7.3",https://allstore.bg/product/624482/intel-core-i5-12400-2-5ghz-lga1700-18m-cache-tray-cpu.html
340.4716,EUR,EUR,173.71,1,лв340.47,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-14400F TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/623632/protsesor-intel-raptor-lake-core-i5-14400f-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
392.62719999999996,EUR,EUR,200.32,1,лв392.63,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Comet Lake-S Core I5-10400, 6 cores, 2.9Ghz, 12MB, 65W, LGA1200, BOX",https://allstore.bg/product/613677/protsesor-intel-comet-lake-s-core-i5-10400-6-cores-2-9ghz-12mb-65w-lga1200-box.html
417.7152,EUR,EUR,213.12,1,лв417.72,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран преносим компютър Fujitsu Lifebook E756 15.6``, 1366 x 768, TN, Intel Core i5‑6200U (6-то поколение), 8 GB DDR4, 256 GB , клас А",https://allstore.bg/product/615740/renoviran-prenosim-kompyutar-fujitsu-lifebook-e756-15-6-1366-x-768-tn-intel-core-i5-6200u-6-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
465.5392,EUR,EUR,237.52,1,лв465.54,Allstore.bg,EUR,AllStoreScraper,BGN,"Вътрешен кепчър AVerMedia LIVE Gamer DUO, PCIe",https://allstore.bg/product/116877/vatreshen-kepchar-avermedia-live-gamer-duo-pcie.html
502.25,EUR,EUR,256.25,1,лв502.25,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake i5-14600KF TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/623581/intel-core-i5-14400f-2-5ghz-lga1700-20m-cache-boxed-cpu.html
513.6768,EUR,EUR,262.08,1,лв513.68,Allstore.bg,EUR,AllStoreScraper,BGN,"Реновиран лаптоп Dell Latitude 5410 8GB FHD 14``, 1920 x 1080, IPS, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас Б",https://allstore.bg/product/623605/renoviran-laptop-dell-latitude-5410-8gb-fhd-14-1920-x-1080-ips-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-m-2-nvme-klas-b.html
578.6704,EUR,EUR,295.24,1,лв578.67,Allstore.bg,EUR,AllStoreScraper,BGN,"Процесор Intel Raptor Lake Core i5-13500 TRAY, 2.5GHz, 24MB, LGA1700, 65W",https://allstore.bg/product/613744/protsesor-intel-raptor-lake-core-i5-13500-tray-2-5ghz-24mb-lga1700-65w.html
