currency,original_currency,original_price,page,price,ram памет: 16 gb,ram памет: 24 gb,ram памет: 8 gb,source,source_currency,source_scraper,ssd: 1000 gb,ssd: 512 gb,storage интерфейси: sata 3gbit/s,"storage интерфейси: sata 6gbit/s, m.2",title,url,архитектура: 64,брой слотове за ram памет: 2,брой слотове за ram памет: 4,брой ядра: 10 ядрен,брой ядра: 6 ядрен,брой ядра: 8 ядрен,видео изход: dp hdmi,видео изход: hdmi vga (d-sub),видеокарта: вградена,видеокарта: да,гаранция: 12 месеца,гаранция: 24 месеца,гаранция: 36 месеца,"екран размер: 14"" (35.56 cm)","екран размер: 15.3"" (38.86 cm)","екран размер: 15.6"" (39.62 cm)","екран размер: 16"" (40.64 cm)",код на продукта: 83gu006ybm,код на продукта: 83hs003bbm,код на продукта: 83k0002rbm,код на продукта: 83k10091rm,код на продукта: 90mb1i50-m0eay0,код на продукта: bto004_qc24251_emea,код на продукта: bto007_qct1250_emea_ubu,код на продукта: bto009_qcs1250_emea,код на продукта: bto009_qcs1250_emea_ubu,код на продукта: bto010_qct1250_emea,код на продукта: bto010_qct1250_emea_ubu,код на продукта: bx8070110400,код на продукта: bx8070811400,код на продукта: bx8070811400tray,код на продукта: cm8070104290715,код на продукта: cm8071505093012,код на продукта: ecs1250_rpls-r_003,код на продукта: ecs1250_rpls-r_003_ubu,код на продукта: ect1250_rpls-r_004_ubu,код на продукта: f0hm007eri,код на продукта: h610mhc 2.0,код на продукта: h81mhv3,код на продукта: pb14250_i516g512g_ubu,код на продукта: pv15250_rplu_001_p,код на продукта: pv15250_rplu_001_p_ubu,код на продукта: pv15250_rplu_003_m,код на продукта: pv15250_rplu_003_m_ubu,код на продукта: pv15250_rplu_005_p,код на продукта: pv15250_rplu_005_p_ubu,марка: asus,марка: biostar,марка: dell,"марка: dell, dell pro 14 plus","марка: dell, dell pro 15 essential","марка: intel, intel core i5",марка: jar computers,марка: lenovo,"марка: lenovo, lenovo ideapad 3","марка: lenovo, lenovo ideapad slim 3","марка: lenovo, lenovo v",модел видеокарта: intel graphics,модел видеокарта: intel uhd graphics,модел видеокарта: intel uhd graphics 730,модел видеокарта: intel uhd graphics 770,модел: ausbildung i5-14400 1tb 16gb ddr5,модел: bx8070811400,модел: bx8070811400tray,модел: cm8070104290715,модел: core i5-14400 tray,модел: h610mhc 2.0,модел: h81mhv3,модел: i5-10400 box,модел: ideacentre aio 27irh9,модел: ideapad slim 3 15irh10 83k10091rm,модел: ideapad slim 5 16irh10 83hs003bbm,модел: prime z890-p,модел: pro 14 plus pb14250_i516g512g_ubu,модел: pro 15 essential pv15250 pv15250_rplu_001_p,модел: pro 15 essential pv15250 pv15250_rplu_001_p_ubu,модел: pro 15 essential pv15250 pv15250_rplu_003_m,модел: pro 15 essential pv15250 pv15250_rplu_003_m_ubu,модел: pro 15 essential pv15250 pv15250_rplu_005_p,модел: pro 15 essential pv15250 pv15250_rplu_005_p_ubu,модел: pro 24 all-in-one qc24251,модел: pro slim qcs1250 bto009_qcs1250_emea,модел: pro slim qcs1250 bto009_qcs1250_emea_ubu,модел: pro tower qct1250,модел: pro tower qct1250 bto007_qct1250_emea_ubu,модел: slim 3 14irh10 83k0002rbm,модел: slim ecs1250 ecs1250_rpls-r_003,модел: slim ecs1250 ecs1250_rpls-r_003_ubu,модел: tower ect1250 ect1250_rpls-r_004_ubu,модел: v14 g5 irl 83gu006ybm,поддържана памет: ddr3,поддържана памет: ddr4,поддържана памет: ddr5,поколение: intel gen 10,поколение: intel gen 11,поколение: intel gen 14,предназначение: home office,приложение: за бизнес,приложение: за дома,приложение: за работа / за дома,процесор сокет: lga 1150,процесор сокет: lga 1700,процесор сокет: lga 1851,процесор сокет: lga1200,процесор сокет: lga1700,процесор: десетядрен,процесор: четиринадесетядрен,серия процесор: intel core 5,серия процесор: intel core i5,серия процесор: intel core i7,серия: intel core i5,твърд диск: няма gb,термична мощност (tdp): 148 w,термична мощност (tdp): 65 w,тип: all in one pc,тип: business pc/workstation,тип: home/home office,форм фактор: atx,форм фактор: micro atx,честота процесор: 1700 mhz,честота процесор: 2100 mhz,честота процесор: 2500 mhz,честота процесор: 2600 mhz,чипсет: h610,чипсет: h81,чипсет: z890
BGN,BGN,1250.45,1,лв1250.45,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Lenovo IdeaPad Slim 5 16IRH10(83HS003BBM)(син), осемядрен Intel Core i5-13420H 2.1/4.6GHz, 16""(40.64cm) WUXGA IPS Anti-glare Display, 16GB DDR5, 512GB SSD NVMe, 2x USB 3.2 Gen 1 Type-A, No OS",https://www.jarcomputers.com/lenovo-ideapad-slim-5-16irh1083hs003bbm-prod-nblenovo83hs003bbm.html,,,,,,8 ядрен,,,Вградена,,,24 месеца,,,,,"16"" (40.64 cm)",,83HS003BBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenovo, Lenovo IdeaPad Slim 3",,,,,,,,,,,,,,,,IdeaPad Slim 5 16IRH10 83HS003BBM,,,,,,,,,,,,,,,,,,,,,,,,,,,За дома,,,,,,,,,,,Intel Core i7,,,,,,,,,,,,,,,,
BGN,BGN,1301.91,1,лв1301.91,,24 GB,,JarComputers.com,BGN,JarComputersScraper,1000 GB,,,,"Лаптоп Lenovo IdeaPad Slim 3 14IRH10 (83K0002RBM)(сив), осемядрен Intel Core i5-13420H 2.1/4.6GHz, 14""(35.56 cm), WUXGA IPS Anti-glare Display, 24GB DDR5, 1TB SSD, 2x USB 3.2 Gen 1 Type-A, No OS",https://www.jarcomputers.com/lenovo-ideapad-slim-3-14irh10-83k0002rbm-prod-nblenovo83k0002rbm.html,,,,,,8 ядрен,,,Вградена,,,24 месеца,,"14"" (35.56 cm)",,,,,,83K0002RBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenovo, Lenovo IdeaPad 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slim 3 14IRH10 83K0002RBM,,,,,,,,,,,,,За дома,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,1165.19,1,лв1165.19,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Lenovo IdeaPad Slim 3 15IRH10 (83K10091RM)(сив), осемядрен Intel Core i5-13420H 3.4/4.6GHz, 15.3""(38.86cm), WUXGA IPS Anti-glare Display,(HD), 16GB DDR5, 512GB SSD M.2, 2x USB 3.2 Gen 1 Type-A, No OS, 1.59 kg",https://www.jarcomputers.com/lenovo-ideapad-slim-3-15irh10-83k10091rm-prod-nblenovo83k10091rm.html,,,,,,8 ядрен,,,Вградена,,,24 месеца,,,"15.3"" (38.86 cm)",,,,,,83K10091RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenovo, Lenovo IdeaPad Slim 3",,,,,,,,,,,,,,,IdeaPad Slim 3 15IRH10 83K10091RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,За дома,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,1044.14,1,лв1044.14,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Lenovo V14 G5 IRL (83GU006YBM), осемядрен Intel Core i5-13420H 2.1/4.6 GHz, 14.0"" (35.56 cm) Full HD TN Anti-Glare Display, 8GB DDR5, 512GB SSD, 1x USB-C 3.2 Gen 1, No OS",https://www.jarcomputers.com/lenovo-v14-g5-irl-83gu006ybm-prod-nblenovo83gu006ybm.html,,,,,,8 ядрен,,,Вградена,,,24 месеца,,"14"" (35.56 cm)",,,,83GU006YBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenovo, Lenovo V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V14 G5 IRL 83GU006YBM,,,,,,,,,,За работа / За дома,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,2659.87,1,лв2659.87,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"All in One компютър Dell Pro 24 All-in-One QC24251 (BTO004_QC24251_EMEA), четиринадесетядрен Intel Core i5-14500T 1.7/4.8GHz, 23.8"" (60.45 cm) Full HD IPS Display, 8GB DDR5, 512GB SSD NVMe, 1x USB 3.2 Gen 2 Type-C, клавиатура и мишка, Windows 11 Pro",https://www.jarcomputers.com/dell-pro-24-all-in-one-bto004_qc24251_emea-prod-pcdellbto004_qc24251_emea.html,,,,,,,,,,,,,36 месеца,,,,,,,,,,BTO004_QC24251_EMEA,,,,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,Intel UHD Graphics 770,,,,,,,,,,,,,,,,,,,,Pro 24 All-in-One QC24251,,,,,,,,,,,,,,,,,,,,,,,,,,Четиринадесетядрен,,,,,Няма GB,,,All in One PC,,,,,1700 MHz,,,,,,
BGN,BGN,1670.43,1,лв1670.43,16 GB,,,JarComputers.com,BGN,JarComputersScraper,1000 GB,,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_003_M_UBU)(сребрист), десетядрен Intel Core i5-1334U 1.3/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 16GB DDR5, 1TB SSD, 1x USB 3.2 Gen 1 Type-C, Linux",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_003_m_u-prod-nbdellpv15250_rplu_003_m_ubu.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_003_M_UBU,,,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_003_M_UBU,,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,,Intel Core i7,,,,,,,,,,,,,,,,
BGN,BGN,1853.78,1,лв1853.78,16 GB,,,JarComputers.com,BGN,JarComputersScraper,1000 GB,,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_003_M)(сребрист), десетядрен Intel Core i5-1334U 1.3/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 16GB DDR5, 1TB SSD, 1x USB 3.2 Gen 1 Type-C, Windows 11 Pro",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_003_m-prod-nbdellpv15250_rplu_003_m.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_003_M,,,,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_003_M,,,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,971.63,1,лв971.63,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_005_P_UBU), десетядрен Intel Core i5-1334U 3.4/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 16GB DDR5, 512GB SSD, 1x USB 3.2 Gen 1 Type-C, Linux",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_005_p_u-prod-nbdellpv15250_rplu_005_p_ubu.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_005_P_UBU,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_005_P_UBU,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,890.29,1,лв890.29,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_001_P_UBU), десетядрен Intel Core i5-1334U 3.4/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 8GB DDR5, 512GB SSD, 1x USB 3.2 Gen 1 Type-C, Linux",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_001_p_u-prod-nbdellpv15250_rplu_001_p_ubu.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_001_P_UBU,,,,,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_001_P_UBU,,,,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,1515.05,1,лв1515.05,,,8 GB,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_001_P), десетядрен Intel Core i5-1334U 3.4/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 8GB DDR5, 512GB SSD, 1x USB 3.2 Gen 1 Type-C, Windows 11 Pro",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_001_p-prod-nbdellpv15250_rplu_001_p.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_001_P,,,,,,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_001_P,,,,,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
BGN,BGN,1693.41,1,лв1693.41,16 GB,,,JarComputers.com,BGN,JarComputersScraper,,512 GB,,,"Лаптоп Dell Pro 15 Essential PV15250(PV15250_RPLU_005_P), десетядрен Intel Core i5-1334U 3.4/4.6GHz, 15.6"" (39.62cm) Full HD IPS 120Hz Anti-Glare Display, 16GB DDR5, 512GB SSD, 1x USB 3.2 Gen 1 Type-C, Windows 11 Pro",https://www.jarcomputers.com/dell-pro-15-essential-pv15250-pv15250_rplu_005_p-prod-nbdellpv15250_rplu_005_p.html,,,,10 ядрен,,,,,Вградена,,,,36 месеца,,,"15.6"" (39.62 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,PV15250_RPLU_005_P,,,,,,"Dell, Dell Pro 15 Essential",,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro 15 Essential PV15250 PV15250_RPLU_005_P,,,,,,,,,,,,,,,,,,,За бизнес,,,,,,,,,,,Intel Core i5,,,,,,,,,,,,,,,,,
