currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url
BGN,BGN,23506.0,1,лв23506.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake Core i5-13600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, NO COOLER",https://allstore.bg/product/613738/protsesor-intel-raptor-lake-core-i5-13600k-tray-14-cores-3-5-ghz-24mb-125w-lga1700-no-cooler.html
BGN,BGN,23752.0,1,лв23752.00,Allstore.bg,BGN,AllStoreScraper,"Вътрешен кепчър AVerMedia LIVE Gamer DUO, PCIe",https://allstore.bg/product/116877/vatreshen-kepchar-avermedia-live-gamer-duo-pcie.html
BGN,BGN,24004.0,1,лв24004.00,Allstore.bg,BGN,AllStoreScraper,INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Boxed CPU,https://allstore.bg/product/623581/intel-core-i5-14400f-2-5ghz-lga1700-20m-cache-boxed-cpu.html
BGN,BGN,25625.0,1,лв25625.00,Allstore.bg,BGN,AllStoreScraper,"Процесор Intel Raptor Lake i5-14600KF TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/623053/protsesor-intel-raptor-lake-i5-14600kf-tray-14-cores-3-5-ghz-24mb-125w-lga1700.html
BGN,BGN,26208.0,1,лв26208.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Dell Latitude 5410 8GB FHD 14``, 1920 x 1080, IPS, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас Б",https://allstore.bg/product/623605/renoviran-laptop-dell-latitude-5410-8gb-fhd-14-1920-x-1080-ips-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-m-2-nvme-klas-b.html
BGN,BGN,27881.0,1,лв27881.00,Allstore.bg,BGN,AllStoreScraper,"Intel CPU Desktop Core i5-14500 (up to 5.00 GHz, 24M Cache, LGA1700) box",https://allstore.bg/product/622495/renoviran-prenosim-kompyutar-hp-probook-440-g6-14-1920-x-1080-ips-intel-core-i5-8250u-8-mo-pokolenie-8-gb-ddr4-256-gb-klas-a.html
BGN,BGN,27881.0,1,лв27881.00,Allstore.bg,BGN,AllStoreScraper,"Intel CPU Desktop Core i5-14500 (up to 5.00 GHz, 24M Cache, LGA1700) box",https://allstore.bg/product/615070/intel-cpu-desktop-core-i5-14500-up-to-5-00-ghz-24m-cache-lga1700-box.html
BGN,BGN,28080.0,1,лв28080.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Fujitsu LifeBook U939X 13.3``, 1920 x 1080, IPS, Intel Core i5‑8265U (8-мо поколение), 16 GB DDR3, 256 GB m.2 NVMe, клас А-",https://allstore.bg/product/623999/renoviran-laptop-fujitsu-lifebook-u939x-13-3-1920-x-1080-ips-intel-core-i5-8265u-8-mo-pokolenie-16-gb-ddr3-256-gb-m-2-nvme-klas-a.html
BGN,BGN,28800.0,1,лв28800.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран лаптоп Fujitsu LifeBook U759 15.6``, 1920 x 1080, IPS, Intel Core i5-8265U (8-мо поколение), 8 GB DDR4, 256 GB m.2 NVMe, клас А",https://allstore.bg/product/623996/renoviran-laptop-fujitsu-lifebook-u759-15-6-1920-x-1080-ips-intel-core-i5-8265u-8-mo-pokolenie-8-gb-ddr4-256-gb-m-2-nvme-klas-a.html
BGN,BGN,29520.0,1,лв29520.00,Allstore.bg,BGN,AllStoreScraper,"Реновиран преносим компютър Dell Latitude 5410 14``, 1920 x 1080, IPS, Intel Core i5‑10210U (10-то поколение), 8 GB DDR4, 256 GB, клас А-",https://allstore.bg/product/609453/renoviran-prenosim-kompyutar-dell-latitude-5410-14-1920-x-1080-ips-intel-core-i5-10210u-10-to-pokolenie-8-gb-ddr4-256-gb-klas-a.html
